2230892122|2230892128|19.326612,-99.177079
2230847988|2230847989|18.663547,-91.765286
2230847986|2230847987|19.327417,-99.17617
2230896257|2230896270|19.347687,-99.164637
2230883330|2230883353|19.422673,-99.186486
2230886465|2230886525|19.333289,-99.183079
2230818586|2230818620|19.433093,-99.128726
2230813185|2230813438|19.449965,-99.137189
2230889874|2230889909|19.476446,-99.046264
2230854657|2230854909|19.322389,-99.186097
2230847489|2230847741|19.326005,-99.176128
2230853889|2230854141|18.982376,-99.234832
2230901761|2230901885|18.983182,-99.235292
2230864385|2230864637|19.331451,-99.18331
2230896177|2230896190|19.956733,-99.512216
2230894337|2230894357|18.567384,-99.604528
2230878785|2230878974|19.335893,-99.187671
2230894593|2230894845|19.31568,-99.184721
2230891390|2230891473|20.705487,-100.444533
2230892801|2230893053|20.705487,-100.444534
2230853121|2230853374|18.839141,-99.234186
2230889473|2230889726|19.64832,-101.228926
2230907841|2230907902|19.648598,-101.228087
2230908545|2230908575|19.333341,-99.183076
2230886145|2230886234|19.333341,-99.183076
2230891134|2230891262|19.333341,-99.183076
2230846721|2230846973|31.867739,-116.664752
2230866177|2230866429|19.646838,-101.228414
2230877953|2230878202|19.433812,-99.18477
2230886914|2230886937|18.982035,-99.234044
2230863105|2230863358|19.313533,-99.178139
2230854401|2230854653|18.985362,-99.234395
2230897537|2230897597|19.42973,-99.136567
2230889729|2230889801|19.473597,-99.0463
2230812929|2230813182|19.449962,-99.137189
2230884353|2230884413|19.3905,-99.16804
2230907393|2230907592|19.333296,-99.183082
2230898209|2230898237|19.476961,-99.046168
2230893313|2230893347|19.312926,-99.16751
2230868225|2230868477|19.501076,-99.204947
2230868481|2230868733|19.477633,-99.243748
2230867713|2230867965|19.385203,-99.059857
2230867457|2230867709|19.311521,-99.200339
2230867969|2230868221|19.48521,-99.141482
2230906977|2230907005|19.328998,-99.188254
2230893825|2230893853|19.334856,-99.186225
2230897793|2230897826|19.314274,-99.184526
2230888961|2230889000|19.333295,-99.183079
2230907592|2230907607|19.333295,-99.183079
2230893889|2230893918|19.333295,-99.183079
2230853377|2230853630|19.327295,-99.177305
2230872579|2230872579|19.311124,-99.18463
2230906241|2230906301|18.98277,-99.234678
2230903553|2230903806|18.983512,-99.234042
2230895786|2230895817|19.688366,-101.203308
2230902465|2230902514|19.332112,-99.188219
2230847944|2230847983|19.332383,-99.188186
2230884026|2230884028|19.32239,-99.184587
2230857729|2230857982|19.323266,-99.18802
2230783745|2230783997|19.438244,-99.208984
2230906369|2230906622|19.365393,-98.131179
2230898177|2230898201|19.309783,-99.181379
2230865409|2230865662|19.32216,-99.18462
2230873092|2230873302|19.32239,-99.184587
2230877308|2230877376|19.32239,-99.184587
2230876402|2230876402|19.32239,-99.184587
2230843889|2230843902|19.32239,-99.184587
2230842753|2230842782|19.32239,-99.184587
2230843905|2230844143|19.32239,-99.184587
2230902529|2230902781|19.32239,-99.184587
2230877281|2230877310|19.32239,-99.184587
2230874886|2230874890|19.32239,-99.184587
2230866689|2230866750|19.32239,-99.184587
2230852353|2230852605|19.4342,-99.1386
2230896449|2230896477|19.31341,-99.185275
2230784513|2230784765|19.4342,-99.1386
2230897857|2230897881|19.33443,-99.18730
2230905793|2230905834|19.33679,-99.18736
2230855425|2230855619|19.33679,-99.18736
2230896385|2230896424|19.33443,-99.18730
2230895105|2230895165|19.3196,-99.1752
2230907073|2230907088|19.335,-99.1960
2230889316|2230889339|19.31230,-99.19931
2230864130|2230864148|19.32756,-99.17462
2230882305|2230882557|19.31439,-99.18453
2230854913|2230855112|19.37926,-99.16046
2230883457|2230883581|19.30980,-99.18139
2230892737|2230892796|19.30975,-99.18197
2230862593|2230862845|19.32594,-99.17700
2230864641|2230864893|19.44189,-99.16017
2230908673|2230908926|19.33682,-99.18736
2230872776|2230872816|19.39347,-99.17051
2230862337|2230862589|19.33333,-99.18741
2230890881|2230891006|19.3162,-99.1805
2230886785|2230886844|19.32892,-99.18832
2230896481|2230896509|19.33373,-99.19589
2230855169|2230855422|19.3128,-99.1853
2230909697|2230909795|19.39051,-99.16784
2230876673|2230876925|19.35696,-99.18889
2230851073|2230851325|19.33559,-99.19368
2230857473|2230857696|19.33216,-99.18568
2230851329|2230851582|19.33342,-99.18741
2230860289|2230860542|19.37923,-99.16046
2230855620|2230855677|19.3152,-99.18567
2230874113|2230874365|19.3152,-99.18567
